LATITUDE,LONGITUDE,ID
53.3452,-6.2382,907mb
53.3333,-6.24403,908mb
53.3443,-6.23332,909mb
53.3119,-6.27475,910mb
53.3208,-6.28528,911mb
53.3414,-6.28366,912mb
53.2943,-6.13372,913mb
53.3476,-6.23999,914mb
53.3341,-6.26564,915mb
53.2928,-6.1301,916mb
53.3457,-6.23818,917mb
53.2801,-6.14419,918mb
53.3557,-6.25754,919mb
53.345,-6.23809,920mb
53.3433,-6.27593,921mb
53.3414,-6.26463,922mb
53.3414,-6.28365,923mb
53.3475,-6.24023,924mb
53.345,-6.27016,925mb
53.2928,-6.13008,926mb
53.356,-6.25753,927mb
53.3772,-6.26976,928mb
53.3456,-6.23797,929mb
53.3254,-6.25507,930mb
53.3816,-6.24177,931mb
